Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
 5-10€;carmaster-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;3.5;29.63;4.0;0.0;68.55;38.92;22.7
 > 50€;carmaster-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;8.5;746.14;12.0;0.0;914.35;168.21;52.27
10-25€;carmaster-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;15.0;278.33;15.0;0.0;413.18;134.85;52.69
25-50€;carmaster-ebay;2017-05-26;2017;2017-02-01;2017-05-01;4;10.0;356.7;11.0;0.0;469.18;112.48;38.7
 0- 5€;carmaster-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;1.5;-9.0;6.0;0.0;12.91;21.91;16.93
 5-10€;carmaster-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;0.5;6.2;1.0;0.0;11.92;5.72;3.41
 > 50€;carmaster-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;4.0;407.66;4.0;0.0;473.18;65.52;12.47
10-25€;carmaster-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;2.0;12.96;2.0;0.0;24.58;15.24;6.05
25-50€;carmaster-daparto;2017-05-26;2017;2017-02-01;2017-05-01;4;3.0;72.02;4.0;0.0;101.94;39.46;15.47
 0- 5€;teufel-tyre24;2017-05-26;2017;2017-02-01;2017-05-01;4;0.0;0.0;0.0;0.0;101.15;101.15;0.0
 5-10€;teufel-tyre24;2017-05-26;2017;2017-02-01;2017-05-01;4;0.66;14.89;2.0;0.0;23.19;8.3;2.95
 > 50€;teufel-tyre24;2017-05-26;2017;2017-02-01;2017-05-01;4;4.75;409.64;6.0;0.0;477.2;86.67;-17.2
10-25€;teufel-tyre24;2017-05-26;2017;2017-02-01;2017-05-01;4;3.33;102.7;8.0;0.0;150.89;48.19;16.8
25-50€;teufel-tyre24;2017-05-26;2017;2017-02-01;2017-05-01;4;1.25;111.97;5.0;0.0;141.18;29.21;5.21
 > 50€;partsrunner-tyre24;2017-05-26;2017;2017-02-01;2017-05-01;4;1.0;59.28;2.0;0.0;74.23;14.95;2.17
 0- 5€;teufel-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;42.86;235.73;200.0;0.0;1648.05;1424.75;573.75
 5-10€;teufel-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;30.61;476.48;107.0;0.0;1029.3;568.97;343.67
 > 50€;teufel-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;29.8;3879.01;89.0;0.0;4263.42;589.87;-57.31
10-25€;teufel-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;37.35;1283.71;139.0;0.0;2033.87;779.9;436.41
25-50€;teufel-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;28.24;2569.89;88.0;0.0;3175.25;633.69;217.47
 0- 5€;teufel-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;11.0;1.31;18.0;0.0;28.61;28.9;6.09
 5-10€;teufel-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;6.0;44.88;6.0;0.0;94.85;49.97;15.56
 > 50€;teufel-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;12.5;1328.34;13.0;3.0;1485.48;173.77;-161.91
10-25€;teufel-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;10.5;173.6;12.0;2.0;245.18;84.82;-21.14
25-50€;teufel-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;9.0;351.81;11.0;2.0;471.78;127.17;1.58
 > 50€;teufel-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;4.0;487.29;5.0;0.0;519.27;70.71;-74.65
10-25€;teufel-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;2.0;33.55;3.0;0.0;59.92;26.37;9.79
25-50€;teufel-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;1.0;45.57;1.0;0.0;58.03;12.46;0.63
 0- 5€;partsrunner-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;23.72;-75.32;238.0;0.0;656.73;732.05;592.48
 5-10€;partsrunner-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;10.02;193.72;36.0;0.0;369.68;175.96;112.62
 > 50€;partsrunner-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;8.13;1200.52;33.0;0.0;1415.22;241.75;79.81
10-25€;partsrunner-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;15.98;648.43;69.0;0.0;997.39;348.96;218.15
25-50€;partsrunner-shop;2017-05-27;2017;2017-02-01;2017-05-01;5;7.13;425.0;49.0;0.0;638.87;213.87;137.49
 0- 5€;partsrunner-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;54.16;40.6;102.0;1.0;481.44;445.84;173.15
 5-10€;partsrunner-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;24.83;194.42;27.0;0.0;391.7;197.28;54.74
 > 50€;partsrunner-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;9.0;663.02;11.0;0.0;796.62;162.56;-43.4
10-25€;partsrunner-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;37.0;733.77;52.0;6.0;1203.22;475.82;123.51
25-50€;partsrunner-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;20.0;750.27;22.0;2.0;1013.48;263.21;10.59
 0- 5€;partsrunner-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;13.04;-51.61;70.0;0.0;187.67;239.28;176.16
 5-10€;partsrunner-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;5.0;64.09;9.0;0.0;123.08;58.99;27.02
 > 50€;partsrunner-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;2.0;202.67;2.0;0.0;234.9;32.23;-12.11
10-25€;partsrunner-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;6.45;139.67;9.0;0.0;212.01;72.34;14.56
25-50€;partsrunner-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;1.5;34.41;2.0;0.0;35.47;7.89;-21.93
 0- 5€;carmaster-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;4.0;8.65;6.0;0.0;64.39;55.74;38.4
 5-10€;carmaster-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;2.0;14.82;2.0;0.0;36.18;21.36;12.35
 > 50€;carmaster-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;6.0;394.8;7.0;0.0;392.35;89.2;-20.73
10-25€;carmaster-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;9.0;145.95;9.0;0.0;219.36;78.28;30.31
25-50€;carmaster-ebay;2017-05-27;2017;2017-02-01;2017-05-01;5;9.0;274.66;9.0;0.0;366.17;91.51;25.02
 5-10€;carmaster-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;2.0;12.87;3.0;0.0;30.45;17.58;7.34
 > 50€;carmaster-daparto;2017-05-27;2017;2017-02-01;2017-05-01;5;2.0;103.79;2.0;0.0;122.61;18.82;3.22
 5-10€;teufel-tyre24;2017-05-27;2017;2017-02-01;2017-05-01;5;1.0;8.93;1.0;0.0;19.63;10.7;5.84
 > 50€;teufel-tyre24;2017-05-27;2017;2017-02-01;2017-05-01;5;3.0;500.59;10.0;0.0;555.14;54.55;-37.35
10-25€;teufel-tyre24;2017-05-27;2017;2017-02-01;2017-05-01;5;2.0;32.56;2.0;0.0;53.96;21.4;9.54
 0- 5€;partsrunner-tyre24;2017-05-27;2017;2017-02-01;2017-05-01;5;0.0;0.0;0.0;0.0;59.5;59.5;0.0
 > 50€;partsrunner-tyre24;2017-05-27;2017;2017-02-01;2017-05-01;5;1.0;65.6;1.0;0.0;78.8;13.2;-0.33
 0- 5€;teufel-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;98.48;232.4;574.0;0.0;2794.16;2574.87;1563.61
 5-10€;teufel-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;37.26;811.73;148.0;0.0;1598.5;794.33;511.16
 > 50€;teufel-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;48.31;7701.66;116.0;0.0;8510.26;995.55;-36.56
10-25€;teufel-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;53.77;2290.96;194.0;0.0;3377.36;1125.93;538.48
25-50€;teufel-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;46.93;3956.33;134.0;0.0;4980.1;1080.19;389.27
 0- 5€;teufel-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;13.0;-8.05;34.0;0.0;156.74;167.08;88.1
 5-10€;teufel-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;11.5;66.43;12.0;0.0;150.95;90.47;5.89
 > 50€;teufel-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;19.5;2261.13;24.0;1.0;2594.77;364.52;-209.87
10-25€;teufel-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;19.0;366.43;20.0;3.0;572.29;212.03;20.62
25-50€;teufel-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;13.0;563.38;14.0;3.0;735.33;181.07;-5.13
 5-10€;teufel-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;1.0;12.05;3.0;0.0;28.01;15.96;-34.77
 > 50€;teufel-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;6.0;605.1;12.0;0.0;661.63;76.83;-131.53
10-25€;teufel-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;1.0;24.91;2.0;0.0;38.87;13.96;4.88
25-50€;teufel-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;1.0;27.4;1.0;0.0;38.67;11.27;2.74
 0- 5€;partsrunner-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;56.49;34.94;393.0;0.0;1580.52;1549.75;1085.9
 5-10€;partsrunner-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;18.99;421.93;84.0;0.0;813.15;399.55;230.54
 > 50€;partsrunner-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;11.58;1993.44;33.0;0.0;2256.89;326.13;53.69
10-25€;partsrunner-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;22.5;1099.39;112.0;0.0;1637.72;559.7;317.33
25-50€;partsrunner-shop;2017-05-28;2017;2017-02-01;2017-05-01;6;12.68;1211.14;40.0;0.0;1511.26;300.12;110.32
 0- 5€;partsrunner-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;119.53;145.4;209.0;0.0;1134.03;995.86;436.47
 5-10€;partsrunner-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;49.08;413.72;75.0;0.0;905.13;494.38;176.74
 > 50€;partsrunner-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;19.76;2340.47;28.0;3.0;2797.8;457.33;-116.62
10-25€;partsrunner-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;51.88;970.73;79.0;7.0;1583.74;628.1;129.83
25-50€;partsrunner-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;17.75;777.07;25.0;5.0;1073.33;306.43;34.48
 0- 5€;partsrunner-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;11.1;-22.9;72.0;0.0;215.03;237.93;169.42
 5-10€;partsrunner-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;6.17;49.44;15.0;0.0;118.61;72.97;34.38
 > 50€;partsrunner-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;3.0;514.88;5.0;0.0;577.32;62.44;-52.32
10-25€;partsrunner-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;5.25;162.9;14.0;0.0;247.29;84.39;30.78
25-50€;partsrunner-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;13.5;524.68;20.0;0.0;664.84;155.63;-102.18
 0- 5€;carmaster-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;8.0;15.96;9.0;0.0;94.77;78.81;39.84
 5-10€;carmaster-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;7.0;62.46;8.0;0.0;137.55;75.09;42.6
 > 50€;carmaster-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;9.0;712.88;9.0;0.0;812.77;128.63;-7.93
10-25€;carmaster-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;27.99;545.03;30.0;0.0;820.09;275.06;112.22
25-50€;carmaster-ebay;2017-05-28;2017;2017-02-01;2017-05-01;6;19.0;547.99;19.0;0.0;711.76;183.48;50.56
 0- 5€;carmaster-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;4.75;-0.4;17.0;0.0;62.53;62.93;42.85
 5-10€;carmaster-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;2.0;13.87;2.0;0.0;29.54;15.67;7.98
 > 50€;carmaster-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;2.0;122.21;2.0;0.0;140.92;18.71;1.56
10-25€;carmaster-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;2.25;38.76;7.0;0.0;72.76;34.0;22.0
25-50€;carmaster-daparto;2017-05-28;2017;2017-02-01;2017-05-01;6;5.0;180.53;6.0;0.0;227.57;47.04;14.76
 0- 5€;teufel-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;128.08;458.48;701.0;0.0;4287.37;3856.04;1982.6
 5-10€;teufel-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;59.61;1287.18;260.0;0.0;2518.82;1275.88;751.51
 > 50€;teufel-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;97.53;14726.7;269.0;0.0;16446.12;2129.17;-0.11
10-25€;teufel-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;104.13;4084.76;347.0;0.0;6103.16;2100.38;972.95
25-50€;teufel-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;89.26;6677.98;294.0;0.0;8578.7;2039.67;803.0
 0- 5€;teufel-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;16.92;19.44;37.0;0.0;137.2;119.95;69.14
 5-10€;teufel-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;9.76;95.85;14.0;0.0;219.68;123.83;53.35
 > 50€;teufel-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;50.96;5308.64;63.0;6.0;6030.75;973.53;-595.55
10-25€;teufel-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;20.26;427.31;26.0;1.0;671.98;244.67;54.14
25-50€;teufel-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;26.13;945.65;35.0;3.0;1200.4;294.86;-61.78
 0- 5€;teufel-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;2.5;10.31;3.0;0.0;37.74;27.43;14.61
 > 50€;teufel-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;11.0;1234.99;17.0;0.0;1338.51;120.04;-173.07
10-25€;teufel-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;3.0;50.65;5.0;0.0;110.48;59.83;21.4
25-50€;teufel-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;4.5;187.65;6.0;0.0;251.26;73.29;0.64
 0- 5€;partsrunner-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;65.44;22.28;380.0;0.0;1637.58;1619.08;1169.86
 5-10€;partsrunner-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;22.31;370.76;73.0;0.0;726.64;362.54;210.3
 > 50€;partsrunner-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;26.73;3593.88;65.0;0.0;3900.1;598.33;10.97
10-25€;partsrunner-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;29.43;1029.08;127.0;0.0;1646.7;636.3;340.33
25-50€;partsrunner-shop;2017-05-29;2017;2017-02-01;2017-05-01;0;30.12;2171.24;103.0;0.0;2820.78;684.2;298.75
 0- 5€;partsrunner-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;110.49;181.62;169.0;0.0;1030.35;850.37;362.29
 5-10€;partsrunner-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;61.83;455.77;83.0;0.0;1009.77;556.7;188.24
 > 50€;partsrunner-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;29.5;3222.09;39.0;4.0;3707.61;534.61;-359.37
10-25€;partsrunner-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;71.66;1161.84;103.0;4.0;1885.73;756.73;95.61
25-50€;partsrunner-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;44.5;1775.75;71.0;9.0;2471.17;716.93;73.64
 0- 5€;partsrunner-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;16.68;38.49;68.0;0.0;309.7;271.21;151.92
 5-10€;partsrunner-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;6.45;90.91;17.0;0.0;176.57;90.46;32.74
 > 50€;partsrunner-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;12.28;1073.72;20.0;0.0;1240.91;196.38;-76.68
10-25€;partsrunner-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;17.66;521.94;39.0;0.0;751.73;238.87;35.51
25-50€;partsrunner-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;15.9;854.92;39.0;0.0;1096.35;255.28;-7.27
 0- 5€;carmaster-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;10.0;23.12;11.0;0.0;115.57;92.45;45.75
 5-10€;carmaster-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;5.0;36.36;5.0;0.0;87.65;51.29;26.51
 > 50€;carmaster-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;17.0;1021.4;21.0;0.0;1223.89;249.43;65.72
10-25€;carmaster-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;34.0;579.98;39.0;0.0;903.39;334.35;140.76
25-50€;carmaster-ebay;2017-05-29;2017;2017-02-01;2017-05-01;0;23.0;799.14;24.0;0.0;1060.37;261.23;96.14
 0- 5€;carmaster-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;1.0;2.69;2.0;0.0;12.34;9.65;6.0
 5-10€;carmaster-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;6.0;47.79;7.0;0.0;99.71;51.92;27.91
 > 50€;carmaster-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;3.0;357.0;4.0;0.0;432.91;75.91;26.38
10-25€;carmaster-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;5.0;96.75;13.0;0.0;164.41;67.66;38.26
25-50€;carmaster-daparto;2017-05-29;2017;2017-02-01;2017-05-01;0;1.0;43.9;1.0;0.0;53.2;9.3;2.19
 0- 5€;teufel-tyre24;2017-05-29;2017;2017-02-01;2017-05-01;0;0.75;8.24;3.0;0.0;573.26;565.02;11.09
 5-10€;teufel-tyre24;2017-05-29;2017;2017-02-01;2017-05-01;0;0.83;25.57;3.0;0.0;43.25;17.68;7.75
 > 50€;teufel-tyre24;2017-05-29;2017;2017-02-01;2017-05-01;0;19.0;2794.57;27.0;0.0;3085.65;318.68;-209.75
10-25€;teufel-tyre24;2017-05-29;2017;2017-02-01;2017-05-01;0;6.48;253.8;21.0;0.0;401.05;147.25;68.8
25-50€;teufel-tyre24;2017-05-29;2017;2017-02-01;2017-05-01;0;7.93;509.9;15.0;0.0;633.93;124.03;2.32
 5-10€;partsrunner-tyre24;2017-05-29;2017;2017-02-01;2017-05-01;0;0.4;11.32;2.0;0.0;23.92;12.6;8.32
10-25€;partsrunner-tyre24;2017-05-29;2017;2017-02-01;2017-05-01;0;0.6;56.66;3.0;0.0;78.72;22.06;9.43
 0- 5€;teufel-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;602.01;1896.06;2794.0;0.0;10612.45;8762.97;5145.54
 5-10€;teufel-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;196.19;3321.36;656.0;0.0;5819.61;2565.8;1183.94
 > 50€;teufel-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;94.72;12719.47;206.0;0.0;14187.85;1783.66;-24.85
10-25€;teufel-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;269.04;9177.41;881.0;0.0;13190.0;4175.98;1744.02
25-50€;teufel-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;148.78;10042.96;398.0;0.0;12428.01;2579.49;613.94
 0- 5€;teufel-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;20.0;29.99;32.0;1.0;171.55;141.56;48.74
 5-10€;teufel-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;12.5;105.03;13.0;1.0;219.92;114.89;33.81
 > 50€;teufel-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;33.5;3380.55;37.0;4.0;3701.75;444.44;-489.46
10-25€;teufel-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;17.0;308.27;18.0;1.0;478.21;175.25;23.98
25-50€;teufel-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;23.0;904.55;23.0;2.0;1155.6;260.33;-66.73
 0- 5€;teufel-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;1.75;4.78;5.0;0.0;27.73;22.95;11.79
 5-10€;teufel-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;1.0;8.6;4.0;0.0;26.91;18.31;11.78
 > 50€;teufel-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;12.25;1197.12;19.0;0.0;1301.51;145.95;-173.46
10-25€;teufel-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;5.0;89.17;6.0;0.0;140.58;56.55;10.9
25-50€;teufel-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;1.0;26.31;1.0;0.0;41.55;15.24;0.76
 0- 5€;partsrunner-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;48.79;124.02;212.0;0.0;1219.12;1097.81;682.38
 5-10€;partsrunner-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;19.59;264.79;60.0;0.0;546.17;284.94;180.82
 > 50€;partsrunner-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;19.7;3118.07;50.0;0.0;3501.63;478.63;41.39
10-25€;partsrunner-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;30.95;792.81;109.0;0.0;1304.31;548.85;281.88
25-50€;partsrunner-shop;2017-05-30;2017;2017-02-01;2017-05-01;1;35.9;1550.36;84.0;0.0;2096.34;588.14;245.08
 0- 5€;partsrunner-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;142.15;232.57;188.0;0.0;1207.06;977.65;348.47
 5-10€;partsrunner-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;58.49;425.64;84.0;0.0;954.11;536.23;172.42
 > 50€;partsrunner-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;23.5;2557.98;29.0;3.0;3099.29;572.9;-157.33
10-25€;partsrunner-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;71.33;1244.94;104.0;6.0;2021.96;788.68;168.46
25-50€;partsrunner-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;26.5;1383.26;40.0;12.0;1830.53;467.55;-13.58
 0- 5€;partsrunner-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;25.05;23.93;86.0;0.0;366.56;344.95;211.7
 5-10€;partsrunner-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;7.64;126.89;23.0;0.0;246.31;119.42;59.93
 > 50€;partsrunner-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;9.7;805.74;24.0;0.0;963.66;175.93;-36.7
10-25€;partsrunner-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;14.16;336.32;28.0;0.0;522.35;189.17;65.77
25-50€;partsrunner-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;7.46;511.02;19.0;0.0;644.41;133.39;-12.3
 0- 5€;carmaster-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;14.0;16.85;20.0;0.0;173.37;156.52;93.45
 5-10€;carmaster-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;5.0;41.39;6.0;0.0;103.13;61.74;35.65
 > 50€;carmaster-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;13.0;820.37;18.0;0.0;982.94;215.29;52.65
10-25€;carmaster-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;24.5;432.78;26.0;0.0;663.51;230.73;81.16
25-50€;carmaster-ebay;2017-05-30;2017;2017-02-01;2017-05-01;1;24.5;877.61;29.0;0.0;1169.3;291.69;102.05
 0- 5€;carmaster-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;5.19;-2.61;22.0;0.0;74.86;77.47;57.05
 5-10€;carmaster-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;1.0;8.51;1.0;0.0;16.65;8.14;4.14
 > 50€;carmaster-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;5.5;391.41;10.0;0.0;462.86;71.45;12.92
10-25€;carmaster-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;10.1;249.67;13.0;0.0;362.36;112.69;43.99
25-50€;carmaster-daparto;2017-05-30;2017;2017-02-01;2017-05-01;1;4.2;162.69;5.0;0.0;207.48;54.04;17.53
 0- 5€;teufel-tyre24;2017-05-30;2017;2017-02-01;2017-05-01;1;0.2;4.59;1.0;0.0;246.74;242.15;1.11
 > 50€;teufel-tyre24;2017-05-30;2017;2017-02-01;2017-05-01;1;14.5;1950.47;34.0;0.0;2201.3;311.51;-113.31
10-25€;teufel-tyre24;2017-05-30;2017;2017-02-01;2017-05-01;1;5.65;183.27;12.0;0.0;266.06;82.79;19.14
25-50€;teufel-tyre24;2017-05-30;2017;2017-02-01;2017-05-01;1;9.65;538.14;17.0;0.0;673.01;134.87;0.19
 > 50€;partsrunner-tyre24;2017-05-30;2017;2017-02-01;2017-05-01;1;1.0;-2.25;1.0;0.0;1.18;32.37;7.31
25-50€;partsrunner-tyre24;2017-05-30;2017;2017-02-01;2017-05-01;1;1.0;49.23;1.0;0.0;61.38;12.15;1.23
 0- 5€;teufel-shop;2017-05-31;2017;2017-02-01;2017-05-01;2;122.27;582.89;684.0;0.0;4121.27;3557.73;1802.84
 5-10€;teufel-shop;2017-05-31;2017;2017-02-01;2017-05-01;2;57.18;1121.83;202.0;0.0;2169.42;1062.13;640.79
 > 50€;teufel-shop;2017-05-31;2017;2017-02-01;2017-05-01;2;83.74;12320.33;233.0;0.0;14206.95;2203.22;380.58
10-25€;teufel-shop;2017-05-31;2017;2017-02-01;2017-05-01;2;91.23;4137.15;381.0;0.0;6125.84;2082.52;1044.76
25-50€;teufel-shop;2017-05-31;2017;2017-02-01;2017-05-01;2;82.49;5710.68;231.0;0.0;7310.26;1780.09;528.56
 0- 5€;teufel-ebay;2017-05-31;2017;2017-02-01;2017-05-01;2;15.99;11.09;28.0;0.0;102.6;91.51;26.52
 5-10€;teufel-ebay;2017-05-31;2017;2017-02-01;2017-05-01;2;15.0;113.02;15.0;0.0;238.74;125.72;37.7
 > 50€;teufel-ebay;2017-05-31;2017;2017-02-01;2017-05-01;2;26.16;2261.49;30.0;2.0;2527.14;417.86;-312.14
10-25€;teufel-ebay;2017-05-31;2017;2017-02-01;2017-05-01;2;20.33;421.75;23.0;4.0;623.33;216.01;6.72
25-50€;teufel-ebay;2017-05-31;2017;2017-02-01;2017-05-01;2;22.5;937.73;26.0;4.0;1242.33;315.04;-3.21
 0- 5€;teufel-daparto;2017-05-31;2017;2017-02-01;2017-05-01;2;0.28;2.95;2.0;0.0;13.47;10.52;4.92
 5-10€;teufel-daparto;2017-05-31;2017;2017-02-01;2017-05-01;2;1.42;29.58;5.0;0.0;63.9;34.32;16.53
 > 50€;teufel-daparto;2017-05-31;2017;2017-02-01;2017-05-01;2;8.0;746.69;10.0;0.0;802.25;55.56;-115.45
